Code	Title	Final	Mid
AL801 	Software Design (Game Development or Cloud Computing) 	300 	340 
AL810 	Quantity Surveying 	315 	355 
AL820 	Mechanical and Polymer Engineering 	295 	340 
AL830 	General Nursing 	425* 	440 
AL831 	Mature Applicants General Nursing 	#181 	185 
AL832 	Psychiatric Nursing 	375* 	405 
AL833 	Mature Applicants Psychiatric Nursing 	#169 	173 
AL836 	Health Science with Nutrition 	350 	380 
AL837 	Sports Science with Exercise Physiology 	360 	385 
AL838 	Biotechnology 	270 	345 
AL840 	Pharmaceutical Science 	255 	290 
AL841 	Athletic and Rehabilitation Therapy 	410 	430 
AL842 	Bioveterinary Science 	325 	370 
AL843 	Physical Activity and Health 	345 	390 
AL850 	Business 	300 	365 
AL851 	Business and Law 	300 	345 
AL852 	Accounting (with optional placement) 	290 	335 
AL854 	Business Psychology 	305 	340 
AL860 	Social Care Practice 	300 	330 
AL861 	Animation and Illustration (Portfolio) 	#565 	835 
PC405 	Citizenship and Community Studies 	225 	300 
PC410 	Humanities 	280 	325 
PC411 	English and History 	300 	333 
CW 008 	Applied Humanities (Wexford) 	# 	
CW 018 	Business (Wexford) 	255 	345 
CW 028 	Early Childhood Education and Care (Wexford) 	265 	315 
CW 038 	Art (Wexford - Portfolio) 	#700 	700 
CW 068 	Applied Social Studies (Professional Social Care - Wexford) 	270 	355 
CW 078 	Sustainable Farm Management and Agribusiness (Wexford) 	320 	360 
CW 088 	Visual Communications and Design (Wexford) 	265 	300 
CW 098 	Culture and Heritage Studies (Wexford) 	310 	310 
CW 108 	Biosciences with Bioforensics or Biopharmaceuticals 	295 	375 
CW 168 	Environmental Science 	290 	300 
CW 178 	Sport Science 	410 	430 
CW 188 	Sports Rehabilitation and Athletic Therapy 	445 	460 
CW 198 	Strength and Conditioning 	400 	410 
CW 208 	Computer Games Development 	290 	355 
CW 238 	Software Development 	290 	335 
CW 248 	Computer Systems Management 	300 	340 
CW 258 	Cybercrime and IT Security 	315 	370 
CW 438 	Construction 	260 	290 
CW 468 	Architectural Technology 	270 	325 
CW 478 	Civil Engineering 	395 	430 
CW 548 	Mechanical Engineering 	335 	367 
CW 558 	Electronic Systems 	290 	330 
CW 568 	Aero Engineering 	395 	430 
CW 578 	TV and Media Production 	365 	380 
CW 708 	Law - LLB 	300 	345 
CW 728 	Product Design Innovation 	300 	350 
CW 748 	Early Childhood Education and Care 	270 	335 
CW 758 	Applied Social Studies (Professional Social Care) 	295 	339 
CW 788 	Youth and Community Work (Interview) 	#700 	700 
CW 808 	Media and Public Relations 	270 	345 
CW 858 	Sport Management and Coaching (Options: GAA, Rugby, Soccer - Portfolio) 	#700 	700 
CW 908 	Business 	270 	340 
CW 938 	Business with Law 	290 	335 
CW 948 	Accounting 	317 	365 
CR105 	Chemical and Biopharmaceutical Engineering 	430 	490 
CR106 	Software Development 	380 	400 
CR108 	Mechanical Engineering 	415 	490 
CR109 	Structural Engineering 	375 	450 
CR112 	Multimedia 	365 	400 
CR116 	Software Development and Computer Networking 	330 	365 
CR121 	Music at CIT Cork School of Music 	#620 	925 
CR125 	Popular Music: Electric Bass Guitar at CIT Cork School of Music 	#675 	740 
CR126 	Popular Music: Drums at CIT Cork School of Music 	#770 	1015 
CR127 	Popular Music: Electric Guitar at CIT Cork School of Music 	#680 	830 
CR128 	Popular Music: Keyboards at CIT Cork School of Music 	#795 	995 
CR129 	Popular Music: Voice at CIT Cork School of Music 	#890 	995 
CR150 	Business Information Systems 	385 	415 
CR210 	Contemporary Applied Art (Ceramics, Glass, Textiles) at Crawford College 	#1000 	1000 
CR220 	Fine Art at CIT Crawford College of Art and Design 	#710 	945 
CR305 	Physical Sciences (Common Entry) 	305 	350 
CR310 	IT Management 	320 	340 
CR312 	Web Development 	320 	344 
CR320 	Biomedical Science - Offered jointly by CIT and UCC 	545* 	570 
CR325 	Pharmaceutical Biotechnology 	360 	390 
CR330 	Herbal Science 	340 	375 
CR333 	Nutrition and Health Science 	380 	410 
CR335 	Biological Sciences (Common Entry) 	400 	420 
CR340 	Analytical Chemistry with Quality Assurance 	305 	380 
CR360 	Instrument Engineering 	300 	340 
CR365 	Environmental Science and Sustainable Technology 	310 	355 
CR400 	Accounting 	325 	375 
CR420 	Marketing 	320 	350 
CR425 	International Business with Language 	330 	385 
CR500 	Engineering (Common Entry) 	410 	440 
CR510 	Sustainable Energy 	310 	370 
CR520 	Biomedical Engineering 	430 	470 
CR560 	Architectural Technology 	300 	355 
CR565 	Interior Architecture 	315 	360 
CR570 	Quantity Surveying 	280 	350 
CR572 	Construction Management 	245 	315 
CR580 	Electrical Engineering 	315 	355 
CR590 	Electronic Engineering 	315 	375 
CR600 	Visual Communications 	#630 	885 
CR660 	Tourism 	265 	315 
CR700 	Theatre and Drama Studies at CIT Cork School of Music 	#650 	860 
CK101 	Arts - 3 years 	350 	395 
CK102 	Social Science 	420 	450 
CK104 	Arts with Music - 3 years or 4 years (BMus or International Pathway) 	#390 	465 
CK105 	Film and Screen Media - 3 years or 4 years (International Pathway) 	430 	465 
CK106 	Applied Psychology 	490 	525 
CK107 	Geographical and Archaeological Sciences - 3 or 4 years (Intl Pathway) 	330 	370 
CK108 	Arts International - 4 years with subject groupings as CK101 	465 	495 
CK109 	English - 3 years or 4 years (International Pathway) 	400 	435 
CK110 	World Languages 	470 	515 
CK111 	Early Years and Childhood Studies 	385* 	415 
CK112 	Drama and Theatre Studies - 3 years or 4 years (International Pathway) 	#325 	435 
CK113 	Criminology - 3 years or 4 years (International Pathway) 	425 	450 
CK114 	Social Science (Youth and Community Work) - 3 years 	#777 	
CK115 	Social Work - Mature Applicants only 	999 	
CK116 	Sports Studies and Physical Education 	490 	510 
CK117 	Economics (Transformational Learning) - 3 or 4 years (Intl Pathway) 	430 	445 
CK118 	Digital Humanities and Information Tech - 3 or 4 years (Intl Pathway) 	375 	405 
CK201 	Commerce 	460 	485 
CK202 	Accounting 	455 	500 
CK203 	Business Information Systems 	465 	495 
CK204 	Finance 	515 	540 
CK205 	Commerce (International) with French 	480 	500 
CK206 	Commerce (International) with German 	495 	515 
CK207 	Commerce (International) with Italian 	430 	440 
CK208 	Commerce (International) with Hispanic Studies 	460 	475 
CK209 	Commerce (International) with Irish 	500 	540 
CK210 	Government 	340 	395 
CK211 	Commerce (International) with Chinese Studies 	400 	430 
CK301 	Law (Pathways) - 3 years or 4 years 	490 	510 
CK302 	Law and French 	505 	540 
CK304 	Law and Irish 	515 	550 
CK307 	Law and Business 	530 	550 
CK401 	Computer Science 	435 	470 
CK402 	Biological and Chemical Sciences 	480 	515 
CK404 	Biological, Earth and Environmental Sciences 	425 	455 
CK405 	Genetics 	480 	505 
CK406 	Chemical Sciences 	460 	475 
CK407 	Mathematical Sciences 	560 	595 
CK408 	Physics and Astrophysics 	525 	555 
CK502 	Food Marketing and Entrepreneurship 	440 	455 
CK504 	Nutritional Sciences 	510 	530 
CK505 	Food Science 	465 	485 
CK506 	International Development and Food Policy 	375 	415 
CK600 	Engineering 	490 	530 
CK606 	Architecture - Offered jointly by UCC and CIT 	445 	480 
CK701 	Medicine (Undergraduate Entry) 	#726 	738 
CK702 	Dentistry 	580* 	585 
CK703 	Pharmacy 	560 	585 
CK704 	Occupational Therapy 	525 	540 
CK705 	Speech and Language Therapy 	515 	525 
CK706 	Public Health 	415 	435 
CK710 	General Nursing 	445* 	475 
CK711 	Mature Applicants General Nursing 	#174* 	178 
CK712 	Children`s and General Nursing (Integrated) 	505* 	525 
CK713 	Mature Applicants Children`s and General Nursing (Integrated) 	#185* 	194 
CK720 	Mental Health Nursing 	420 	445 
CK721 	Mature Applicants Mental Health Nursing 	#170 	178 
CK730 	Intellectual Disability Nursing 	425 	440 
CK731 	Mature Applicants Intellectual Disability Nursing 	#168 	170 
CK740 	Midwifery 	445 	465 
CK741 	Mature Applicants Midwifery 	#191 	192 
CK791 	Medicine (Graduate Entry) 	#57* 	58 
AC120 	International Business 	255 	317 
AC137 	Liberal Arts 	295 	333 
CT125 	Information Technology 	310 	310 
CM001 	Education - Primary Teaching 	460* 	480 
CM002 	Education - Primary Teaching - Gaeltacht Applicants 	#420 	420 
CM010 	Education Studies 	320 	390 
CM020 	Early Childhood Education 	345 	370 
DB500 	Computing 	240 	320 
DB512 	Business Studies 	215 	340 
DB514 	Business Studies ( Law) 	260 	325 
DB515 	Business Studies ( Human Resource Management) 	235 	317 
DB516 	Financial Services 	410 	410 
DB517 	Marketing ( Event Management) 	230 	335 
DB518 	Marketing ( Digital Media) 	235 	295 
DB520 	Business Studies (with work placement) 	265 	350 
DB521 	Accounting and Finance 	235 	350 
DB524 	Business Information Systems 	315 	333 
DB525 	Marketing ( Digital Media and Cloud Computing) 	210 	260 
DB526 	Business Information Systems ( Cloud Computing) 	255 	465 
DB531 	Marketing 	265 	345 
DB561 	Arts (General) 	250 	300 
DB562 	Psychology 	225 	330 
DB565 	Journalism 	260 	330 
DB566 	Social Science 	240 	300 
DB567 	Film 	165 	315 
DB568 	Law 	180 	320 
DB569 	Business ( Psychology) 	235 	345 
DC001 	Education - Early Childhood Education (subject to accreditation) 	400 	425 
DC002 	Education - Primary Teaching 	465* 	495 
DC003 	Education - Primary Teaching - Gaeltacht Applicants 	#440 	460 
DC004 	Education - Primary Teaching (Church of Ireland Centre formerly CICE) 	#435 	
DC009 	Arts (Joint Honours) - Humanities 	385 	425 
DC010 	Post Primary Teacher Education - Religious Education and English 	400 	420 
DC011 	Post Primary Teacher Education - Religious Education and History 	380 	420 
DC012 	Post Primary Teacher Education - Religious Education and Music 	#370 	420 
DC110 	Business Studies International 	465 	485 
DC111 	Business Studies 	470 	490 
DC112 	Global Business (France) 	500 	515 
DC113 	Global Business (Germany) 	470 	495 
DC114 	Global Business (Spain) 	515 	535 
DC115 	Accounting and Finance 	485 	520 
DC116 	Global Business (USA) 	590 	610 
DC117 	Aviation Management / Aviation Management with Pilot Studies 	460 	490 
DC118 	Gnó agus Gaeilge / Business and Irish 	350 	385 
DC119 	Global Business (Canada) 	545 	550 
DC120 	Enterprise Computing 	370 	395 
DC121 	Computer Applications 	400 	435 
DC122 	Computational Problem-Solving and Software Development 	#345 	425 
DC123 	Data Science 		
DC126 	Actuarial Mathematics 	515 	540 
DC127 	Common Entry into Actuarial and Financial Mathematics 	500 	510 
DC131 	Communication Studies 	445 	470 
DC132 	Journalism 	420 	455 
DC133 	Multimedia 	450 	480 
DC155 	Applied Language and Translation Studies 	375 	435 
DC161 	Analytical Science 	470 	475 
DC162 	Chemical and Pharmaceutical Sciences 	490 	505 
DC166 	Environmental Science and Health 	425 	440 
DC167 	Physics with Astronomy 	415 	445 
DC168 	Genetics and Cell Biology 	485 	495 
DC171 	Applied Physics 	415 	465 
DC173 	Physics with Biomedical Sciences 	415 	455 
DC181 	Biotechnology 	480 	505 
DC190 	Electronic and Computer Engineering 	420 	450 
DC193 	Mechatronic Engineering 	405 	465 
DC195 	Mechanical and Manufacturing Engineering 	410 	450 
DC197 	Biomedical Engineering 	405 	450 
DC200 	Common Entry into Engineering (Undenominated Entry) 	405 	455 
DC201 	Common Entry into Science (Undenominated Entry) 	480 	495 
DC202 	Sport Science and Health 	495 	505 
DC203 	Science Education 	430 	465 
DC204 	Athletic Therapy and Training 	510 	525 
DC205 	Physical Education with Biology 	500 	530 
DC206 	Physical Education with Mathematics 	480 	500 
DC208 	Psychology 	505 	525 
DC209 	Health and Society 	425 	445 
DC215 	General Nursing 	450 	470 
DC216 	Psychiatric Nursing 	375 	395 
DC217 	Intellectual Disability Nursing 	375 	395 
DC218 	Children's and General Nursing (Integrated) 	485 	495 
DC225 	Mature Applicants General Nursing 	#171 	172 
DC226 	Mature Applicants Psychiatric Nursing 	#160 	166 
DC227 	Mature Applicants Intellectual Disability Nursing 	#148 	155 
DC228 	Mature Applicants Children's and General Nursing (Integrated) 	#174 	181 
DC230 	Economics, Politics and Law 	400 	430 
DC231 	International Relations 	385 	450 
DC232 	Law and Society (BCL) 	450 	480 
DC235 	Education and Training - Daytime or Flexible Delivery Mode 	315 	345 
DC238 	Contemporary Culture and Society 	345 	365 
DC239 	Gaeilge agus Iriseoireacht/Irish and Journalism 	345 	400 
DC240 	Marketing, Innovation and Technology 	470 	490 
DC291 	Arts (Joint Honours) - Media Studies 	385 	410 
DC292 	Arts (Joint Honours) - Law 	385 	410 
DC293 	Arts (Joint Honours) - International Languages 	390 	430 
DC294 	Arts (Joint Honours) - Gaeilge 	390 	440 
DC295 	Arts (Joint Honours) - Politics 	385 	415 
DT001 	Product Design 	430 	450 
DT021 	Electrical/Electronic Engineering 	425 	493 
DT023 	Manufacturing and Design Engineering 	415 	465 
DT028 	Transport Operations and Technology 	270 	330 
DT035 	Electrical Services and Energy Management 	300 	370 
DT066 	Engineering (General Entry) 	380 	445 
DT081 	Computer and Communications Engineering 	430 	440 
DT101 	Architecture 	#605 	645 
DT106 	Planning and Environmental Management 	300 	325 
DT110 	Property Economics (Valuation Surveying) 	350 	385 
DT111 	Quantity Surveying and Construction Economics 	350 	390 
DT112 	Geographic Science 	310 	365 
DT117 	Construction Management 	325 	350 
DT175 	Architectural Technology 	365 	395 
DT201 	Science (General Entry) 	470 	480 
DT203 	Forensic and Environmental Chemistry 	325 	360 
DT204 	Biomedical Science 	500 	515 
DT205 	Mathematical Sciences 	305 	410 
DT206 	Biomedical and Molecular Diagnostics 	420 	450 
DT211 	Computer Science (Infrastructure) 	360 	385 
DT220 	Industrial Mathematics 	270 	370 
DT221 	Physics with Energy and Environment 	320 	455 
DT222 	Physics Technology 	350 	410 
DT223 	Human Nutrition and Dietetics 	545 	570 
DT224 	Optometry 	490 	510 
DT225 	Public Health Nutrition 	405 	455 
DT227 	Science with Nanotechnology 	300 	385 
DT228 	Computer Science 	450 	465 
DT229 	Clinical Measurement Science 	465 	495 
DT235 	Physics with Medical Physics and Bioengineering 	330 	380 
DT255 	Information Systems/Information Technology (Mature) 	7773 	
DT282 	Computer Science(International) 	350 	390 
DT299 	Chemical Sciences with Medicinal Chemistry 	395 	440 
DT302 	Business Analytics 	360 	455 
DT321 	Business and Law 	470 	485 
DT341 	Marketing 	405 	430 
DT343 	Retail and Services Management 	300 	360 
DT354 	Business Computing 	350 	390 
DT358 	Logistics and Supply Chain Management 	300 	345 
DT365 	Business and Management 	450 	465 
DT366 	Accounting and Finance 	430 	455 
DT398 	Human Resource Management 	375 	390 
DT399 	Economics and Finance 	445 	475 
DT401 	International Hospitality Management 	300 	355 
DT405 	Culinary Science 	330 	370 
DT407 	Culinary Arts 	300 	360 
DT412 	Tourism Marketing 	290 	350 
DT413 	Event Management 	365 	385 
DT416 	Culinary Entrepreneurship 	290 	345 
DT417 	Bar Studies (Management and Entrepreneurship) 	280 	315 
DT420 	Nutraceuticals in Health and Nutrition 	430 	460 
DT421 	Food Innovation 	375 	410 
DT422 	Pharmaceutical Healthcare 	390 	415 
DT491 	Environmental Health 	330 	380 
DT501 	Music 	#398 	508 
DT504 	Film and Broadcasting 	450 	475 
DT506 	Commercial Modern Music 	#720 	869 
DT508 	Games Design 	385 	425 
DT517 	Languages and English Studies 	335 	435 
DT518 	Languages and International Tourism (French) 	315 	350 
DT519 	Languages and International Tourism (German) 	305 	370 
DT520 	Languages and International Tourism (Spanish) 	300 	355 
DT529 	Drama (Performance) 	#365 	495 
DT532 	Law (LLB) 	425 	445 
DT533 	Contemporary Visual Culture 	300 	380 
DT544 	Design - Interior and Furniture 	#600 	800 
DT545 	Design - Visual Communication 	#775 	875 
DT546 	Fine Art 	#645 	855 
DT555 	International Business and Languages (French) 	400 	430 
DT556 	International Business and Languages (German) 	400 	440 
DT557 	International Business and Languages (Spanish) 	400 	420 
DT559 	Photography 	#765 	860 
DT564 	International Business and Languages (Italian) 	355 	385 
DT565 	International Business and Languages (Chinese) 	360 	380 
DT571 	Social Care 	405 	430 
DT572 	Early Childhood Education 	380 	395 
DT582 	Journalism 	380 	405 
DT596 	Print and Digital Media Technology Management 	230 	295 
DT597 	Creative and Cultural Industries 	315 	355 
DL821 	English, Media and Cultural Studies 	225 	320 
DL822 	Cultural Enterprise 	230 	320 
DL823 	Business Studies - Entrepreneurship and Management 	225 	325 
DL825 	Applied Psychology 	380 	415 
DL826 	Visual Communication Design 	#845 	945 
DL827 	Art 	#667 	800 
DL828 	3D Design, Modelmaking and Digital Art 	#555 	820 
DL829 	Design for Stage and Screen (Costume Design) 	#815 	890 
DL830 	Design for Stage and Screen (Makeup Design) 	#900 	990 
DL831 	Design for Stage and Screen (Production Design) 	#560 	790 
DL832 	Animation 	#800 	1005 
DL833 	Photography 	#655 	800 
DL834 	Film and Television Production 	#880 	990 
DL835 	Creative Media Technologies 	210 	340 
DL836 	Creative Computing 	270 	330 
GC200 	Business Studies (Cork) 	280 	335 
GC201 	Accounting and Finance (Cork) 	300 	375 
GC230 	Computing Science (Cork) 	240 	290 
GC300 	Business Studies (Limerick) 	260 	380 
GC305 	International Hospitality Management (Limerick) 	245 	350 
GC400 	Business Studies (Dublin) 	245 	315 
GC401 	Accounting and Finance (Dublin) 	215 	355 
GC402 	Business Studies (HRM - Dublin) 	260 	405 
GC403 	Law (Dublin) 	240 	340 
GC405 	International Hospitality Management (Dublin) 	245 	280 
GC407 	Business Studies (Marketing - Dublin) 	215 	294 
GC430 	Computing Science (Dublin) 	190 	300 
GC431 	Computing Science (Cloud Computing - Dublin) 	240 	240 
GC432 	Computing Science (Software Development - Dublin) 	250 	270 
GC433 	Computing Science (Network Management - Dublin) 	290 	290 
GC434 	Computing Science (Games Development - Dublin) 	240 	300 
GC450 	Journalism and Visual Media (Dublin) 	225 	305 
GC455 	Music Production (Dublin - Portfolio) 	#330 	420 
GC462 	Design Communication (Dublin - Portfolio) 	#320 	340 
GC489 	Interior Architecture (Dublin) 	195 	310 
GC494 	Fashion Design (Dublin - Portfolio) 	#285 	405 
BY401 	Business 		
ID001 	Accounting and Finance 		
ID002 	Business Studies 		
ID003 	Business Studies with Chinese 		
BN101 	Business 	250 	290 
BN103 	Business and Information Technology 	267 	305 
BN104 	Computing (Information Technology) 	270 	325 
BN107 	Applied Social Studies in Social Care 	310 	335 
BN108 	Engineering (Award options: Computer Engineering, Mechatronics) 	310 	340 
BN109 	Business (Common Entry - Acc & Finance,Business,Bus with IT,Intl Bus) 	305 	317 
BN110 	International Business 	255 	290 
BN111 	Sports Management and Coaching 	310 	350 
BN112 	Creative Digital Media 	300 	333 
BN113 	Horticulture 	255 	315 
BN114 	Accounting and Finance 	300 	365 
BN115 	Community and Youth Development 	305 	345 
BN117 	Computer Engineering in Mobile Systems 	325 	335 
BN118 	Early Childhood Care and Education 	300 	345 
BN119 	Digital Marketing 	310 	335 
BN120 	Digital Forensics and Cyber Security 	300 	367 
BN121 	Mechatronic Engineering 	325 	360 
TA021 	European Studies 	235 	295 
TA022 	Creative Digital Media 	235 	325 
TA023 	Advertising and Marketing Communications 	235 	315 
TA025 	Social Care Practice 	300 	325 
TA026 	International Hospitality and Tourism Management 	200 	295 
TA121 	Accounting and Finance 	215 	320 
TA122 	Management 	245 	300 
TA123 	Marketing Management 	225 	305 
TA221 	Electronic Engineering 	215 	325 
TA222 	Mechanical Engineering 	220 	330 
TA223 	Energy Systems Engineering 	275 	330 
TA321 	Pharmaceutical Science 	280 	350 
TA322 	Computing (Options: Software, IT Management, Data analytics, Language) 	250 	300 
TA326 	DNA and Forensic Analysis 	300 	350 
TA327 	Sports Science and Health 	365 	400 
AD101 	1st Year Art and Design (Common Entry) 	#407 	537 
AD202 	Design or Fine Art, and Education - Second Level Teaching 	#545 	640 
AD212 	Product Design 	#410 	592 
AD215 	Visual Culture 	325 	395 
NC003 	Computing 	310 	350 
NC004 	Business Information Systems 	310 	340 
NC005 	Human Resource Management 	290 	330 
NC009 	Business 	290 	350 
NC010 	Psychology 	320 	380 
NC020 	Marketing Practice 	200 	311 
NC022 	Accounting and Finance 	320 	375 
NC023 	Tech Management with Data Analytics, Social Media and Business Analysis 	255 	305 
RC001 	Medicine - Undergraduate Entry 	#724* 	727 
RC004 	Physiotherapy 	535 	540 
RC005 	Pharmacy 	545 	550 
RC101 	Medicine - Graduate Entry 	#58* 	59 
TR002 	Music 	#380 	455 
TR003 	History 	495 	510 
TR004 	Law 	525* 	545 
TR005 	Philosophy 	455 	480 
TR006 	Psychology 	535* 	555 
TR007 	Clinical Speech and Language Studies 	520* 	555 
TR008 	World Religions and Theology 	350 	410 
TR009 	Music Education 	#435 	485 
TR012 	History and Political Science 	535* 	555 
TR015 	Philosophy, Political Science, Economics and Sociology 	555* 	570 
TR016 	Deaf Studies 	335 	395 
TR017 	Law and Business 	580 	590 
TR018 	Law and French 	575 	590 
TR019 	Law and German 	535* 	570 
TR020 	Law and Political Science 	575 	590 
TR021 	Classics 	360 	455 
TR022 	Early and Modern Irish 	375 	475 
TR023 	English Studies 	515 	540 
TR024 	European Studies 	535 	555 
TR025 	Drama and Theatre Studies 	#425 	475 
TR028 	Ancient and Medieval History and Culture 	395* 	460 
TR029 	Political Science and Geography 	475 	495 
TR030 	Catholic Theological Studies 	330 	360 
TR031 	Mathematics 	545 	580 
TR032 	Engineering 	500* 	530 
TR033 	Computer Science 	480* 	505 
TR034 	Management Science and Information Systems Studies 	565 	595 
TR035 	Theoretical Physics 	555 	590 
TR038 	Engineering with Management 	500 	540 
TR039 	Computer Science and Language 	465 	495 
TR051 	Medicine 	#729* 	741 
TR052 	Dental Science 	585* 	595 
TR053 	Physiotherapy 	535* 	550 
TR054 	Occupational Therapy 	510 	525 
TR055 	Radiation Therapy 	515* 	530 
TR056 	Human Health and Disease 	530 	545 
TR071 	Science 	500 	530 
TR072 	Pharmacy 	555* 	575 
TR073 	Human Genetics 	570 	585 
TR074 	Chemistry with Molecular Modelling 	485 	495 
TR075 	Medicinal Chemistry 	500* 	535 
TR076 	Nanoscience, Physics and Chemistry of Advanced Materials 	585* 	615 
TR077 	Earth Sciences 	490 	520 
