Code	Title	Final	Mid
TR080 	Business 	535 	560 
TR081 	Business, Economic and Social Studies (BESS) 	510* 	530 
TR082 	Computer Science and Business 	505* 	530 
TR083 	Sociology and Social Policy 	480* 	500 
TR084 	Social Studies (Social Work) 	460* 	485 
TR085 	Business Studies and French 	525 	545 
TR086 	Business Studies and German 	495* 	515 
TR087 	Business Studies and Russian 	450 	475 
TR089 	Business Studies and Polish 	415* 	430 
TR090 	Business Studies and Spanish 	515* 	555 
TR091 	General Nursing (Meath and St James`s) 	425 	445 
TR092 	Mature Applicants General Nursing (Meath and St James`s) 	#171 	177 
TR093 	General Nursing (Adelaide School of Nursing) 	#400 	410 
TR094 	Mature Applicants General Nursing (Adelaide School of Nursing) 	#177 	186 
TR095 	Mental Health Nursing 	375 	405 
TR096 	Mature Applicants Mental Health Nursing 	#154 	163 
TR097 	Intellectual Disability Nursing 	355 	385 
TR098 	Mature Applicants Intellectual Disability Nursing 	#152 	163 
TR911 	Children`s and General Nursing (Integrated) 	485 	495 
TR912 	Mature Applicants Children`s and General Nursing (Integrated) 	#174* 	182 
TR913 	Midwifery 	450* 	475 
TR914 	Mature Applicants Midwifery 	#171 	179 
DN100 	Architecture 	510* 	540 
DN120 	Landscape Architecture 	AQA 	405 
DN140 	Structural Engineering with Architecture 	475 	495 
DN150 	Engineering 	510 	555 
DN200 	Science 	510 	540 
DN201 	Computer Science 	485 	510 
DN230 	Actuarial and Financial Studies 	560 	580 
DN250 	Agricultural Science 	460 	495 
DN252 	Dairy Business 	440 	450 
DN253 	Agri-Environmental Sciences 	430 	445 
DN261 	Food Science 	485 	500 
DN262 	Human Nutrition 	530 	545 
DN271 	Forestry 	AQA 	355 
DN272 	Horticulture, Landscape and Sportsturf Management 	AQA 	390 
DN300 	Veterinary Medicine - Undergraduate Entry 	565 	585 
DN301 	Veterinary Medicine - Graduate Entry 	697 	697 
DN310 	Veterinary Nursing 	465 	485 
DN400 	Medicine - Undergraduate Entry 	#730* 	741 
DN401 	Medicine - Graduate Entry 	#59* 	62 
DN410 	Radiography 	525 	545 
DN420 	Physiotherapy 	550 	565 
DN425 	Health and Performance Science 	495 	515 
DN430 	Sport and Exercise Management 	435* 	460 
DN440 	Biomedical, Health and Life Sciences 	540* 	560 
DN450 	General Nursing 	420 	440 
DN451 	Children`s and General Nursing (Integrated) 	485 	505 
DN452 	Midwifery 	480 	490 
DN453 	Mental Health Nursing 	385 	410 
DN460 	Mature Applicants General Nursing 	#168* 	172 
DN461 	Mature Applicants Children`s and General Nursing (Integrated) 	#182* 	185 
DN462 	Mature Applicants Midwifery 	#178 	186 
DN463 	Mature Applicants Mental Health Nursing 	#166 	170 
DN500 	BA Degree - joint honours - full time 	310 	400 
DN501 	BA Degree - joint honours - part time 	310 	405 
DN510 	Economics 	495 	500 
DN511 	English 	445 	480 
DN512 	English with Drama 	305 	375 
DN513 	English with Film 	415 	470 
DN514 	Planning, Geography and Environment 	290 	365 
DN515 	History 	380 	450 
DN519 	Psychology 	500 	520 
DN541 	International Languages 	455 	495 
DN550 	Social Science 	415 	450 
DN600 	Law 	525 	545 
DN610 	Business and Law 	520 	545 
DN615 	BCL Maîtrise 	555 	565 
DN650 	Commerce 	500 	515 
DN660 	Commerce International 	510 	530 
DN670 	Quantitative Business 	580* 	595 
DK810 	Accounting and Finance 	300 	383 
DK816 	Business Studies 	300 	350 
DK817 	Business Studies (Years 1 and 2 at Monaghan Institute) 		
DK820 	Computing in Games Development 	315 	370 
DK821 	Computing 	300 	360 
DK830 	Building Surveying 	300 	340 
DK860 	Applied Music 	#510 	585 
DK861 	Digital Humanities 	300 	350 
DK862 	Social Care 	300 	340 
DK863 	Communications in Creative Media 	315 	365 
DK864 	Film and Television Production 	300 	350 
DK865 	Production of Music and Audio 	300 	350 
DK870 	General Nursing 	400* 	410 
DK871 	Mature Applicants General Nursing 	#170 	178 
DK872 	Intellectual Disability Nursing 	320 	340 
DK873 	Mature Applicants Intellectual Disability Nursing 	#139 	147 
DK874 	Psychiatric Nursing 	340 	365 
DK875 	Mature Applicants Psychiatric Nursing 	#152 	164 
DK876 	Early Childhood Studies 	305 	360 
DK877 	Midwifery 	395* 	415 
DK878 	Mature Applicants Midwifery 	#178* 	201 
DK880 	Health and Physical Activity 	300 	340 
DK881 	Environmental Bioscience 	330 	385 
DK882 	Agriculture 	355 	390 
DK890 	Multimedia Web Development 	300 	367 
GA181 	Accounting 	300 	385 
GA182 	Business 	290 	350 
GA183 	Business Information Systems 	305 	345 
GA184 	Business in Marketing and Sales 	300 	345 
GA185 	Business in Finance and Economics 	315 	355 
GA186 	Business with Entrepreneurship 	290 	340 
GA187 	Business in Rural Enterprise and Agri-Business Mountbellew Campus 	300 	350 
GA281 	Film and Documentary 	350 	385 
GA282 	Heritage Studies 	200 	300 
GA283 	Contemporary Art 	250 	360 
GA284 	Design 	310 	385 
GA380 	Hotel and Catering Management 	255 	325 
GA480 	Construction Management 	260 	315 
GA482 	Quantity Surveying and Construction Economics 	240 	315 
GA483 	Architectural Technology 	265 	345 
GA484 	Civil Engineering 	275 	355 
GA680 	Mechanical Engineering 	300 	360 
GA681 	Energy Engineering 	250 	370 
GA780 	Applied Freshwater and Marine Biology 	300 	356 
GA781 	Applied Biology and Biopharmaceutical Science 	305 	370 
GA782 	Chemical and Pharmaceutical Science 	315 	350 
GA783 	Physics and Instrumentation 	315 	350 
GA784 	Science (Undenominated) 	300 	365 
GA785 	Medical Science 	445 	475 
GA786 	Forensic Science and Analysis 	310 	355 
GA787 	Computing in Software Development 	300 	365 
GA788 	Computing and Digital Media 	300 	330 
GA789 	Agriculture and Environmental Management - Mountbellew Campus 	300 	370 
GA790 	Sport and Exercise Science 	400 	425 
GA880 	General Nursing - Mayo Campus 	410* 	420 
GA881 	Mature Applicants General Nursing - Mayo Campus 	#175 	180 
GA882 	Psychiatric Nursing - Mayo Campus 	365* 	380 
GA883 	Mature Applicants Psychiatric Nursing - Mayo Campus 	#164 	174 
GA884 	Digital Media and Society - Mayo Campus 		
GA885 	Outdoor Education - Mayo Campus 	240 	325 
GA886 	Business - Mayo Campus 	250 	350 
GA887 	History and Geography - Mayo Campus 		
GA889 	Applied Social Care - Mayo Campus 	300 	361 
GA980 	Education (Design Graphics and Construction) - Letterfrack Campus 	370 	390 
GA981 	Furniture Design and Manufacture - Letterfrack Campus 	235 	325 
GA982 	Furniture and Wood Technology - Letterfrack Campus 	265 	360 
GY101 	Arts Joint Honours Degree 	300 	365 
GY103 	Arts (Public and Social Policy) 	320 	370 
GY104 	Arts (Psychology) 	495 	520 
GY105 	Arts (History) 	310 	350 
GY107 	Na Dána (Gaeilge agus Léann an Aistriúcháin) 	365 	380 
GY109 	Arts (Mathematics and Education) 	435 	485 
GY110 	Arts with Children`s Studies 	390 	420 
GY111 	Arts with Creative Writing 	425 	475 
GY112 	Arts with Film Studies 	310 	360 
GY113 	Arts with Human Rights 	320 	390 
GY114 	Arts with Irish Studies 	340 	380 
GY115 	Arts with Performing Arts Studies 	335 	375 
GY117 	Arts with Latin American Studies 	350 	430 
GY118 	Arts (Drama, Theatre and Performance Studies) 	400 	460 
GY119 	Arts with Journalism 	410 	430 
GY120 	Arts (Child, Youth and Family: Policy and Practice) 	305 	350 
GY121 	Arts (Children`s Studies) 	330 	375 
GY122 	Na Dána (Cumarsáid agus Gaeilge) 	330 	400 
GY201 	Commerce 	395 	425 
GY202 	Commerce (International) with French 	480 	500 
GY203 	Commerce (International) with German 	480 	490 
GY204 	Commerce (International) with Spanish 	480 	505 
GY206 	Business Information Systems 	430 	455 
GY207 	Commerce (Accounting) 	460 	490 
GY208 	Commerce (Gaeilge) 	395 	425 
GY209 	Commerce (Global Experience) 	500 	515 
GY250 	Corporate Law 	380 	410 
GY251 	Civil Law 	430 	465 
GY261 	Business Studies in International Hotel Management (Shannon) 	#488 	572 
GY262 	Commerce in International Hotel Management (Shannon) 	#630 	642 
GY301 	Science 	400 	450 
GY303 	Biomedical Science 	525 	550 
GY304 	Biotechnology 	440 	475 
GY308 	Environmental Science 	400 	430 
GY309 	Financial Mathematics and Economics 	485 	530 
GY310 	Marine Science 	405 	460 
GY313 	Health and Safety Systems 	310 	355 
GY314 	Earth and Ocean Sciences 	400 	465 
GY318 	Biopharmaceutical Chemistry 	500 	515 
GY319 	Mathematical Science 	455 	505 
GY320 	Physics (Degree options: Applied, Astrophysics, Biomedical, Theoretical) 	450 	490 
GY350 	Computer Science and Information Technology 	425 	455 
GY401 	Engineering (Undenominated) 	445 	495 
GY402 	Civil Engineering 	430 	440 
GY405 	Mechanical Engineering 	430 	465 
GY406 	Electronic and Computer Engineering 	435 	480 
GY408 	Biomedical Engineering 	500 	535 
GY410 	Project and Construction Management 	355 	385 
GY413 	Energy Systems Engineering 	425 	490 
GY414 	Electrical and Electronic Engineering 	445 	510 
GY501 	Medicine (5 year/6 year and embedded PhD options) includes Mature Entry 	#722* 	727 
GY502 	Occupational Therapy 	520 	535 
GY503 	Speech and Language Therapy 	520 	535 
GY504 	Podiatry 	440 	475 
GY515 	General Nursing (Galway and Portiuncula) 	445 	475 
GY516 	Psychiatric Nursing 	405 	420 
GY517 	Midwifery 	440 	470 
GY525 	Mature Applicants General Nursing (Galway and Portiuncula) 	#179 	185 
GY526 	Mature Applicants Psychiatric Nursing 	#169* 	175 
GY527 	Mature Applicants Midwifery 	#175 	178 
LY108 	Business - Accounting 	305 	370 
LY118 	Business 	280 	345 
LY208 	Law 	290 	340 
LY218 	Business - with French/Spanish/German/Irish 	210 	355 
LY228 	Sports Coaching and Performance 	250 	315 
LY408 	Visual Communication and Graphic Design 	#240 	330 
LY508 	Fire Safety Engineering 	220 	355 
LY518 	Quantity Surveying 	290 	345 
LY708 	Computing 	300 	355 
LY818 	Science 	305 	380 
LY908 	General Nursing 	400* 	415 
LY918 	Psychiatric Nursing 	350 	375 
LY928 	Intellectual Disability Nursing 	315 	350 
LY938 	Mature Applicants General Nursing 	#176 	179 
LY948 	Mature Applicants Psychiatric Nursing 	#144 	168 
LY958 	Mature Applicants Intellectual Disability Nursing 	#149 	153 
LY968 	Early Childhood Care, Health and Education 	280 	320 
LY978 	Health & Social Care 	260 	315 
MI001 	Contemporary & Applied Theatre Studies (Workshop and Interview) 	#255 	305 
MI004 	Liberal Arts 	310 	380 
MI005 	Education - Primary Teaching 	460 	490 
MI006 	Education - Primary Teaching - Gaeltacht Applicants 	#430 	465 
MI007 	Early Childhood Care and Education 	360* 	410 
MI008 	Education and Psychology - Primary Teaching 	540 	565 
MI009 	Education, Business Studies and Accounting (Thurles) 	340 	385 
MI010 	Education, Business Studies and Religious Studies (Thurles) 	325 	365 
MI011 	Education, Irish and Religious Studies (Thurles) 	375 	395 
MI012 	Education, Irish and Business Studies (Thurles) 	360 	435 
CI101 	Counselling and Psychotherapy (Limerick) 	220 	315 
CI107 	Counselling and Youth Studies (Limerick) 	255 	325 
CI108 	Counselling and Addiction Studies (Limerick) 	315 	335 
LC110 	Art and Design 	#650 	875 
LC114 	Design (Fashion Knitwear and Textiles - Portfolio) 	#655 	910 
LC223 	Law and Taxation 	280 	350 
LC224 	Business (Accounting and Finance) 	310 	360 
LC225 	Business (Marketing and Management) 	295 	350 
LC226 	Business (Enterprise and Innovation) 	230 	300 
LC231 	Business Technology 	255 	305 
LC233 	Software Development 	255 	310 
LC234 	Multimedia Programming and Design 	250 	325 
LC236 	Internet Systems Development 	335 	350 
LC239 	Computer Networks and Systems Management 	300 	333 
LC241 	Construction Management 	255 	305 
LC242 	Property Valuation and Management 	300 	320 
LC243 	Quantity Surveying 	310 	350 
LC248 	Built Environment - Undenominated 	290 	325 
LC252 	Civil Engineering Management 	250 	320 
LC265 	Pharmaceutical and Forensic Analysis 	355 	380 
LC266 	Drug and Medicinal Product Analysis 	300 	330 
LC275 	Electrical Systems 	240 	305 
LC292 	Social Care Work 	330 	370 
LC293 	Business Studies with Travel and Tourism Management 	250 	295 
LC294 	Business Studies with Event Management 	300 	335 
LC295 	Business Studies with Sports Management 	280 	325 
LC402 	Social Care Work (Thurles) 	311 	355 
LC407 	Social and Community Studies (Thurles) 	9999 	
LC408 	Environmental and Natural Resource Management (Thurles) 	275 	365 
LC411 	Business (Marketing and Management - Thurles) 	280 	390 
LC418 	Computing - Games Design and Development (Thurles) 	265 	330 
LC422 	Sports Strength and Conditioning (Thurles) 	300 	344 
LC502 	Game Art and Design (Clonmel - Portfolio) 	#587 	805 
LC513 	Business (Clonmel) 	285 	320 
LC517 	Creative Multimedia (Clonmel) 	185 	317 
LC518 	Digital Animation Production (Clonmel - Portfolio) 	#611 	860 
LM020 	Law and Accounting 	440 	475 
LM022 	Politics and International Relations 	330 	405 
LM028 	Criminal Justice 	400 	415 
LM029 	Law Plus 	460 	485 
LM030 	Irish Music and Dance 	#345 	410 
LM031 	Voice and Dance 	#315 	380 
LM032 	Arts (Joint Honours) 	425 	450 
LM033 	New Media and English 	330 	365 
LM035 	English and History 	335 	380 
LM036 	Economics and Sociology 	380 	400 
LM037 	Economics and Mathematical Sciences 	410 	485 
LM038 	Psychology and Sociology 	505* 	510 
LM039 	Journalism and New Media 	410 	450 
LM040 	European Studies 	375 	410 
LM041 	Politics and Public Administration 	330 	370 
LM044 	Applied Languages (two or three languages to degree level) 	415 	465 
LM045 	Language and Literature 	345 	375 
LM046 	History, Politics, Sociology and Social Studies 	325 	360 
LM048 	Gaeilge+ 	320 	365 
LM050 	Business Studies 	425* 	450 
LM051 	Computer Systems 	380 	425 
LM052 	Business Studies with a Modern Language (French) 	430 	465 
LM053 	Business Studies with a Modern Language (German) 	430 	455 
LM055 	Business Studies with a Modern Language (Japanese) 	425 	465 
LM056 	International Business 	505 	525 
LM058 	Financial Mathematics 	435 	485 
LM060 	Mathematical Sciences 	450 	515 
LM061 	Pharmaceutical and Industrial Chemistry 	405 	450 
LM063 	Technology Management 	350 	390 
LM064 	Industrial Biochemistry 	420 	460 
LM065 	Applied Physics 	415 	475 
LM066 	Environmental Science 	385 	420 
LM068 	Food Science and Health 	460 	475 
LM071 	Biomedical Engineering 	460 	490 
LM073 	Mechanical Engineering 	440 	480 
LM076 	Product Design and Technology 	435 	460 
LM077 	Aeronautical Engineering 	500 	540 
LM080 	Electronics 	365 	385 
LM082 	Construction Management and Engineering 	365 	400 
LM083 	Mobile Communications and Security 	345 	380 
LM085 	Civil Engineering 	465 	500 
LM087 	Energy 	385 	425 
LM088 	Mathematics and Physics 	475 	520 
LM089 	Sport and Exercise Sciences 	475 	485 
LM090 	Physical Education with Teacher Ed 	505* 	520 
LM092 	Science with Teacher Ed (Biology with Phys or Chem or Ag Science) 	480 	500 
LM093 	Equine Science 	360 	400 
LM094 	Materials and Architectural Technology with Teacher Ed 	415 	440 
LM095 	Materials and Engineering Technology with Teacher Ed 	395 	420 
LM096 	Science with Teacher Ed (Physical Sciences with Chemistry and Physics) 	420 	445 
LM099 	Architecture 	#420 	465 
LM100 	Physiotherapy 	555 	565 
LM101 	Medicine - Graduate Entry 	#55 	56 
LM102 	Psychology 	525 	535 
LM103 	Paramedic Studies 	#310 	380 
LM110 	Computer Games Development 	350 	385 
LM113 	Digital Media Design 	340 	360 
LM115 	Chemical and Biochemical Engineering 	440 	505 
LM116 	Engineering Choice - Degree options 	430 	475 
LM117 	Science Choice - Degree options 	405* 	440 
LM118 	Electronic and Computer Engineering - with defined Degree Options 	425 	475 
LM119 	Design and Manufacture 	420 	515 
LM120 	Aircraft Maintenance and Airworthiness Engineering 	400 	430 
LM150 	General Nursing 	460* 	480 
LM151 	Mature Applicants General Nursing 	#180 	185 
LM152 	Mental Health Nursing 	440 	455 
LM153 	Mature Applicants Mental Health Nursing 	#166* 	173 
LM154 	Intellectual Disability Nursing 	395* 	440 
LM155 	Mature Applicants Intellectual Disability Nursing 	#165 	168 
LM156 	Midwifery 	430* 	445 
LM157 	Mature Applicants Midwifery 	#178 	185 
MU001 	Theology and Arts 	300 	320 
MU002 	Theology 	360 	360 
MH001 	Education - Primary Teaching (Froebel) 	495 	515 
MH002 	Education - Primary Teaching - Gaeltacht Applicants (Froebel) 		
MH101 	Arts 	330 	380 
MH102 	Music Technology 	325 	395 
MH103 	Music 	#290 	435 
MH106 	Psychology 	485 	490 
MH107 	Social Science 	375 	395 
MH108 	European Studies 	340 	380 
MH109 	Media Studies / Media Technology (Digital Media) 	340 	405 
MH116 	Community and Youth Work (Full-Time) 	#225 	300 
MH201 	Science 	380 	420 
MH202 	Biotechnology 	415 	435 
MH204 	Physics with Astrophysics 	435 	485 
MH206 	Theoretical Physics and Mathematics 	505 	550 
MH208 	Biological and Biomedical Sciences 	465 	485 
MH209 	Psychology (through Science) 	480 	490 
MH210 	Chemistry with Pharmaceutical and Biomedical Chemistry 	450 	465 
MH212 	Science (with Education) or Mathematics (with Education) 	455 	475 
MH304 	Engineering 	325 	435 
MH305 	Product Design 	390 	425 
MH306 	Robotics and Intelligent Devices 	350 	390 
MH401 	Finance - Three degree options 	360 	385 
MH403 	Accounting and Finance 	400 	435 
MH404 	Business Four degree options 	405 	440 
MH407 	Business and Accounting 	400 	430 
MH501 	LLB Law - four year single Major Law programme 	450 	485 
MH502 	Law (Law and Arts / Law and Accounting / Law and Business) 	425 	460 
MH601 	Computer Science through Arts 	350 	385 
MH602 	Computer Science through Science 	350 	390 
MH603 	Computational Thinking (Computer Science, Mathematics and Philosophy) 	495 	535 
MH801 	Early Childhood - Teaching and Learning (part-time) 	355 	385 
MH802 	Community and Youth Work (part-time in-service) 	#345 	345 
MH803 	Local Studies or Community Studies (part-time, evening) Mature Students 	888 	
MH901 	Arts - Full time (Kilkenny Campus - First year only) 	220 	305 
AS001 	Education, Home Economics and Biology with concurrent Teacher Ed 	465* 	495 
AS002 	Education, Home Economics and Religious Ed with concurrent Teacher Ed 	420* 	445 
AS003 	Education, Home Economics and Irish with concurrent Teacher Ed 	425* 	460 
AS004 	Education, Home Economics and Economics with concurrent Teacher Ed 	415* 	425 
AS051 	Food and Business Management 	360 	420 
AS052 	Health and Disability Studies 	270 	350 
AS110 	General Nursing 	405* 	420 
AS111 	Mature Applicants General Nursing 	#186* 	196 
AS130 	Intellectual Disability Nursing 	350 	360 
AS131 	Mature Applicants Intellectual Disability Nursing 	#154 	163 
SG141 	Business 	280 	335 
SG142 	Business in International Marketing and Sales with French 	295 	420 
SG143 	Business in International Marketing and Sales with German 	350 	390 
SG144 	Business in International Marketing and Sales with Spanish 	250 	400 
SG146 	Accounting 	345 	405 
SG149 	Business in Finance and Investment 	315 	365 
SG241 	Performing Arts 	250 	300 
SG242 	Early Childhood Care and Education 	290 	345 
SG243 	Social Care Practice 	300 	340 
SG244 	Fine Art (Portfolio) 	#383 	935 
SG245 	Creative Design 	270 	320 
SG246 	Computing 	285 	335 
SG342 	Civil Engineering 	9999 	
SG343 	Quantity Surveying 	255 	315 
SG345 	Architectural Design 	285 	370 
SG440 	Agri-Food Science 	315 	360 
SG441 	Environmental Science 	330 	365 
SG442 	Occupational Safety and Health 	295 	355 
SG443 	Human Nutrition 	380 	405 
SG444 	Science Undenominated 	290 	335 
SG445 	Pharmaceutical Science with Drug Development 	310 	355 
SG446 	Applied Archaeology 	300 	380 
SG447 	Health Science and Physical Activity 	330 	367 
SG448 	Forensic Investigation and Analysis 	378 	415 
SG449 	Medical Biotechnology 	350 	405 
TL801 	Animation Visual Effects and Motion Design 	260 	333 
TL802 	TV, Radio and New Media Broadcasting 	280 	345 
TL803 	Music Technology 	265 	345 
TL805 	Information Systems Management 	305 	365 
TL810 	Computing with Software Development 	305 	383 
TL811 	Computing with Games Development 	300 	372 
TL812 	Computing with Media Development 	335 	415 
TL820 	Travel and Tourism Management 	300 	335 
TL831 	Business Studies 	300 	355 
TL844 	Agricultural Engineering 	335 	375 
TL847 	Manufacturing Engineering 	360 	375 
TL848 	Agricultural Science 	345 	380 
TL851 	Wildlife Biology 	300 	365 
TL855 	Pharmaceutical Science 	367 	385 
TL871 	Health and Leisure 	315 	360 
TL872 	Health and Leisure with Massage 	350 	385 
TL880 	Early Childhood Care and Education 	305 	340 
TL881 	Social Care 	320 	390 
TL890 	General Nursing 	425* 	440 
TL891 	Mental Health Nursing 	405 	425 
TL892 	Mature Applicants General Nursing 	#169* 	174 
TL893 	Mature Applicants Mental Health Nursing 	#161 	170 
WD025 	Construction Management and Engineering 	250 	330 
WD027 	Music 	#310 	370 
WD028 	Applied Computing 	310 	365 
WD048 	Business 	285 	355 
WD084 	Accounting 	315 	400 
WD085 	Mechanical and Manufacturing Engineering 	295 	360 
WD086 	Electronic Engineering 	278 	425 
WD091 	Hospitality Management 	290 	340 
WD116 	General Nursing 	420 	430 
WD117 	Psychiatric Nursing 	385 	395 
WD120 	Intellectual Disability Nursing 	370* 	390 
WD124 	Health Promotion 	290 	320 
WD125 	Exercise and Health Studies 	280 	325 
WD134 	International Business 	300 	350 
WD137 	Design (Visual Communications) 	290 	335 
WD140 	Laws 	300 	360 
WD144 	Architecture 	305 	385 
WD147 	Pharmaceutical Science 	350 	400 
WD148 	Tourism Marketing 	285 	365 
WD149 	Early Childhood Studies 	290 	345 
WD150 	Criminal Justice Studies 	285 	325 
WD152 	Visual Art 	270 	365 
WD160 	Finance and Investment 	300 	365 
WD161 	Computer Forensics and Security 	265 	333 
WD162 	Quantity Surveying 	295 	335 
WD163 	Psychology 	375 	400 
WD168 	Entertainments Systems 	295 	345 
WD171 	Sustainable Energy Engineering 	285 	361 
WD180 	Physics for Modern Technology 	370 	415 
WD186 	Sports Coaching and Performance 	330 	370 
WD187 	Social Science 	280 	333 
WD191 	Agricultural Science 	400 	425 
WD192 	Social Care Practice 	300 	350 
WD193 	Marketing and Digital Media 	300 	360 
WD194 	Culinary Arts 	305 	360 
WD195 	Architectural & Building Information Modelling Technology 	300 	350 
WD197 	The Internet of Things 	275 	380 
WD200 	Arts 	275 	320 
WD816 	Mature Applicants General Nursing 	#188 	193 
WD817 	Mature Applicants Psychiatric Nursing 	#176 	183 
WD820 	Mature Applicants Intellectual Disability Nursing 	#169* 	170 